Id,Name,Image,Url
4529,Klejnot i wachlarz,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4529/klejnot-i-wachlarz
4534,Robot,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4534/robot
4540,Homo bimbrownikus,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4540/homo-bimbrownikus
4543,Lodowa pustynia,https://s.lubimyczytac.pl/upload/books/4000/4543/352x500.jpg,/ksiazka/4543/lodowa-pustynia
4544,Prawa i powinności,https://s.lubimyczytac.pl/upload/books/4000/4544/352x500.jpg,/ksiazka/4544/prawa-i-powinnosci
4553,Błędny krąg,https://s.lubimyczytac.pl/upload/books/4000/4553/352x500.jpg,/ksiazka/4553/bledny-krag
4560,Kolor magii,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4560/kolor-magii
4562,Restauracja na końcu wszechświata,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4562/restauracja-na-koncu-wszechswiata
4577,Kolory sztandarów,,
4581,Jedno królestwo,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4581/jedno-krolestwo
4590,Odd Thomas,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4590/odd-thomas
4599,Zabójca bestii,https://s.lubimyczytac.pl/upload/books/4000/4599/352x500.jpg,/ksiazka/4599/zabojca-bestii
4600,Zapomniane bestie z Eldu,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4600/zapomniane-bestie-z-eldu
4614,Harfista na wietrze,https://s.lubimyczytac.pl/upload/books/4000/4614/352x500.jpg,/ksiazka/4614/harfista-na-wietrze
4620,Bursztynowa luneta,,
4625,Wicher śmierci. Imperium,,
4627,Zawód: Wiedźma. Część 2,,
4629,Władcy marionetek,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4629/wladcy-marionetek
4631,Książę kłamstw,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4631/ksiaze-klamstw
4636,Ognie na skałach,https://s.lubimyczytac.pl/upload/books/4000/4636/352x500.jpg,/ksiazka/4636/ognie-na-skalach
4637,Według łotra,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4637/wedlug-lotra
4643,Na tropie jednorożca,https://s.lubimyczytac.pl/upload/books/4000/4643/352x500.jpg,/ksiazka/4643/na-tropie-jednorozca
4644,Eden,,
4650,Kongres futurologiczny. Opowiadania Ijona Tichego,,
4652,Człowiek z Marsa ;  Opowiadania młodzieńcze ; Wiersze,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4652/czlowiek-z-marsa-opowiadania-mlodziencze-wiersze
4657,Śmierć Magów z Yara,https://s.lubimyczytac.pl/upload/books/4000/4657/352x500.jpg,/ksiazka/4657/smierc-magow-z-yara
4663,Czarem i smokiem,https://s.lubimyczytac.pl/upload/books/4000/4663/352x500.jpg,/ksiazka/4663/czarem-i-smokiem
4670,Magiczny nóż,,
4696,Thorgal: Ponad krainą cieni,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4696/thorgal-ponad-kraina-cieni
4704,Thorgal: Czarna Galera,https://s.lubimyczytac.pl/upload/books/4000/4704/352x500.jpg,/ksiazka/4704/thorgal-czarna-galera
4716,Zabójca orków,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4716/zabojca-orkow
4722,Allah 2.0,https://s.lubimyczytac.pl/upload/books/4000/4722/352x500.jpg,/ksiazka/4722/allah-2-0
4727,Kłopoty w Hamdirholm,https://s.lubimyczytac.pl/upload/books/4000/4727/352x500.jpg,/ksiazka/4727/klopoty-w-hamdirholm
4737,Legendy cyberkatakumb,,
4748,Proroctwo:  Dziecko Ziemi,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4748/proroctwo-dziecko-ziemi
4754,Ognisty miecz,https://s.lubimyczytac.pl/upload/default-book-170x243.jpg,/ksiazka/4754/ognisty-miecz
4755,Sierżant,https://s.lubimyczytac.pl/upload/books/4000/4755/352x500.jpg,/ksiazka/4755/sierzant
4762,Pierwsze prawo magii,https://s.lubimyczytac.pl/upload/books/4000/4762/352x500.jpg,/ksiazka/4762/pierwsze-prawo-magii
4763,Artemis Fowl,,
4773,Amerykańscy bogowie. Wersja autorska,,
4786,Nowy dom,https://s.lubimyczytac.pl/upload/books/4000/4786/352x500.jpg,/ksiazka/4786/nowy-dom
4787,Zdobyta Forteca,https://s.lubimyczytac.pl/upload/books/4000/4787/352x500.jpg,/ksiazka/4787/zdobyta-forteca
4788,451° Fahrenheita,,
